sex,LSAT,UGPA,ZFYA,uuid
0,29.0,3.3,-1.19,16011368862957769196
0,31.0,3.0,-1.07,16011369550152536556
1,36.0,3.3,-0.49,16011370237347303916
0,27.0,2.4,-1.66,16011370881592398316
0,30.0,3.5,1.39,16011371525837492716
0,38.0,3.5,2.78,16011372213032260076
1,34.0,2.8,-0.63,16011373931019178476
0,37.0,3.7,1.32,16011374618213945836
1,36.0,2.7,-1.28,16011375262459040236
0,43.0,3.0,0.1,16011375906704134636
0,42.0,2.9,-0.62,16011376636848574956
0,33.5,3.4,0.69,16011377281093669356
0,25.0,2.9,-0.9,16011377968288436716
1,38.0,3.4,1.23,16011378956130914796
0,42.0,3.6,0.7,16011379643325682156
0,37.0,3.5,-1.64,16011380287570776556
0,29.5,3.5,-0.24,16011380974765543916
0,41.0,3.1,-0.05,16011381619010638316
1,38.0,3.6,-1.0,16011382306205405676
1,42.0,3.2,-0.22,16011382993400173036
1,35.5,3.3,2.26,16011383637645267436
1,36.0,3.6,-0.85,16011384367789707756
1,39.0,3.5,-0.71,16011385012034802156
0,28.0,2.9,-1.96,16011385656279896556
1,42.0,3.3,-1.13,16011386343474663916
1,43.0,3.5,0.74,16011386987719758316
0,43.0,3.1,0.29,16011387674914525676
0,35.0,3.2,-0.66,16011388319159620076
0,40.0,3.7,-0.43,16011389049304060396
1,42.0,2.5,-0.41,16011389693549154796
1,42.0,2.7,-0.02,16011390337794249196
1,40.0,3.7,0.21,16011390982039343596
1,38.0,3.5,1.61,16011391626284437996
0,40.0,3.3,-0.96,16011392270529532396
1,39.0,3.5,0.98,16011393559019721196
1,36.0,3.6,-0.58,16011394332113834476
1,38.0,3.6,-0.28,16011395191107293676
0,36.0,3.0,-1.19,16011395835352388076
0,39.0,3.2,-1.34,16011396479597482476
1,37.0,3.9,0.55,16011397166792249836
0,31.5,2.7,0.58,16011397853987017196
1,41.0,4.0,2.44,16011398326433419756
0,41.0,3.0,-1.45,16011398755930149356
1,36.0,3.3,1.04,16011399185426878956
0,35.0,3.8,-1.11,16011399614923608556
1,39.0,3.7,-1.58,16011400087370011116
1,37.0,3.8,0.4,16011400516866740716
0,37.0,3.1,-0.51,16011400946363470316
0,36.0,3.8,-0.66,16011401418809872876
0,40.0,3.3,-0.77,16011401891256275436
1,45.0,3.3,0.64,16011402277803332076
0,35.0,2.6,0.02,16011402707300061676
1,37.0,3.6,-0.02,16011403136796791276
0,40.0,3.8,0.64,16011403566293520876
0,39.0,3.4,0.4,16011403995790250476
0,33.0,3.9,0.59,16011404468236653036
0,40.0,3.6,0.55,16011404897733382636
0,38.0,3.8,0.55,16011405327230112236
1,41.0,3.3,0.64,16011405756726841836
0,34.0,2.9,-0.25,16011406143273898476
0,40.0,3.1,1.08,16011406572770628076
1,38.0,3.3,-0.02,16011407217015722476
1,40.0,3.2,1.89,16011407646512452076
0,32.5,3.4,-0.17,16011408076009181676
1,41.0,3.4,0.17,16011408505505911276
1,37.0,3.5,-0.13,16011408935002640876
0,41.0,3.3,1.51,16011409364499370476
1,39.0,3.6,-0.66,16011409751046427116
0,38.0,3.5,0.42,16011410180543156716
0,42.0,3.1,0.68,16011410610039886316
1,37.0,3.6,1.27,16011410996586942956
1,32.0,2.8,-1.28,16011411426083672556
1,39.0,3.6,-0.22,16011411855580402156
1,32.0,2.8,-1.09,16011412285077131756
0,41.0,3.1,-0.51,16011412714573861356
1,36.0,3.7,0.17,16011413144070590956
0,38.0,3.4,-1.19,16011413573567320556
0,34.0,3.3,1.02,16011413960114377196
0,38.0,3.6,0.36,16011414819107836396
0,43.0,2.9,0.59,16011415248604565996
1,35.0,3.7,0.64,16011415678101295596
0,37.0,3.6,-0.77,16011416064648352236
1,37.0,3.9,1.36,16011416494145081836
0,40.0,3.2,0.59,16011416923641811436
1,45.0,3.2,1.57,16011417353138541036
0,39.5,3.3,0.55,16011417782635270636
0,40.0,3.3,2.15,16011418212132000236
1,38.0,3.4,-1.0,16011418641628729836
0,40.0,3.4,1.36,16011419071125459436
1,32.5,2.8,-0.92,16011419500622189036
0,36.0,3.7,0.1,16011419930118918636
1,30.0,3.5,-1.75,16011420359615648236
0,37.0,3.7,0.74,16011420746162704876
1,35.5,3.0,-1.73,16011421476307145196
1,31.0,3.4,-0.23,16011421905803874796
0,36.0,2.7,-0.36,16011422550048969196
1,35.0,2.9,1.25,16011422979545698796
1,28.5,3.2,0.57,16011423409042428396
0,39.0,2.4,0.16,16011423838539157996
1,41.0,3.9,1.17,16011424225086214636
0,29.0,3.5,0.2,16011424654582944236
0,36.5,3.1,-0.56,16011425084079673836
0,39.0,3.8,-0.32,16011425470626730476
0,36.0,3.0,0.36,16011425900123460076
0,36.0,2.9,-0.8,16011426329620189676
0,36.0,2.9,0.89,16011426759116919276
0,37.0,2.8,0.77,16011427188613648876
0,38.0,3.2,0.48,16011427618110378476
0,31.5,3.1,0.36,16011428047607108076
0,37.0,3.1,0.0,16011428434154164716
0,26.75,3.3,-0.41,16011428863650894316
1,32.0,3.7,-0.85,16011429293147623916
1,31.0,3.0,0.44,16011429851493372396
1,32.75,3.1,0.2,16011430323939774956
0,35.0,3.2,-0.28,16011430710486831596
1,31.0,3.2,2.48,16011431139983561196
0,33.0,3.0,-0.4,16011431569480290796
1,33.0,3.1,0.61,16011431998977020396
0,34.5,2.9,0.52,16011432428473749996
1,39.0,4.1,1.25,16011432815020806636
0,34.0,3.1,-0.6,16011433244517536236
0,34.0,2.8,1.51,16011433674014265836
1,37.0,2.8,-0.23,16011434060561322476
1,25.0,3.2,-0.64,16011434490058052076
0,33.0,2.9,0.69,16011434919554781676
1,29.0,3.1,-1.45,16011435349051511276
1,34.0,3.0,-0.24,16011436938189410796
1,34.0,2.7,1.51,16011437582434505196
1,30.5,3.0,-1.09,16011438011931234796
1,33.0,3.3,0.89,16011438484377637356
0,34.0,2.9,-1.93,16011438913874366956
1,30.0,3.4,0.73,16011439429270442476
1,38.0,2.4,-0.2,16011439858767172076
0,32.5,3.1,0.93,16011440288263901676
1,40.0,4.0,1.17,16011440674810958316
1,42.0,4.0,0.97,16011441104307687916
1,35.0,3.2,0.27,16011441662653436396
1,29.0,3.4,-0.52,16011442092150165996
0,35.0,2.9,-0.4,16011442521646895596
1,32.0,3.1,-1.17,16011442908193952236
0,27.0,2.3,-1.01,16011443337690681836
1,38.0,3.0,0.55,16011443767187411436
0,31.0,2.7,-0.2,16011444153734468076
1,38.0,3.0,0.15,16011444583231197676
1,28.5,3.9,0.48,16011445012727927276
0,34.0,2.6,0.0,16011445442224656876
1,31.0,3.0,0.0,16011445828771713516
0,33.0,2.9,-0.2,16011446430067134956
1,35.0,2.7,-1.05,16011446859563864556
1,32.5,2.8,0.08,16011447289060594156
1,36.0,2.6,-0.72,16011447718557323756
0,37.0,3.4,0.95,16011448105104380396
1,33.0,3.2,-0.4,16011448534601109996
1,37.0,2.9,0.24,16011448921148166636
0,25.5,2.8,-0.08,16011449350644896236
0,38.0,2.6,1.25,16011449780141625836
0,34.0,2.7,-0.12,16011450209638355436
0,35.0,2.9,1.94,16011450639135085036
0,29.5,2.8,0.24,16011451068631814636
1,41.0,3.0,0.2,16011451498128544236
0,35.0,3.2,-1.13,16011451884675600876
0,34.0,2.9,-2.06,16011452314172330476
0,42.0,2.6,1.57,16011452743669060076
0,30.5,3.1,0.87,16011453173165789676
0,41.0,2.5,0.9,16011453731511538156
0,31.5,3.5,0.2,16011454161008267756
1,35.0,3.7,0.44,16011454590504997356
0,31.0,3.3,0.85,16011455020001726956
0,39.0,3.1,1.19,16011455449498456556
0,39.0,2.9,0.98,16011455836045513196
1,40.0,2.6,0.16,16011456265542242796
0,40.0,3.8,1.85,16011456695038972396
0,33.0,3.2,-0.24,16011457124535701996
0,32.0,3.3,0.36,16011457554032431596
0,39.0,3.3,0.72,16011457983529161196
1,39.0,2.7,0.44,16011458455975563756
0,33.0,3.3,0.24,16011458885472293356
0,38.0,3.7,0.11,16011459314969022956
1,40.0,3.6,-0.09,16011459744465752556
0,38.0,3.4,-0.51,16011460173962482156
0,33.0,3.0,-0.82,16011460560509538796
0,40.0,3.2,1.73,16011461118855287276
0,42.0,3.3,1.22,16011461591301689836
0,29.0,2.8,-1.89,16011461977848746476
1,33.0,3.5,0.05,16011462407345476076
0,40.0,3.4,-1.06,16011462836842205676
0,36.0,3.1,0.53,16011463223389262316
1,25.0,2.8,-2.22,16011463738785337836
0,39.0,3.6,0.18,16011464383030432236
1,41.0,3.7,0.9,16011464812527161836
1,36.0,3.9,-0.12,16011465242023891436
0,44.0,3.2,0.75,16011465671520621036
1,42.0,3.5,-1.17,16011466058067677676
0,46.0,3.3,-2.08,16011466487564407276
0,40.0,2.2,1.04,16011466917061136876
1,41.0,3.8,1.16,16011467303608193516
1,41.0,3.4,0.5,16011467733104923116
0,32.0,2.8,-1.13,16011468162601652716
0,37.0,3.4,-1.02,16011468763897074156
1,40.0,3.5,-0.12,16011469408142168556
1,36.0,3.7,0.77,16011469837638898156
1,42.0,3.5,0.83,16011470267135627756
0,35.5,2.9,0.06,16011470653682684396
1,37.0,3.9,0.37,16011471083179413996
1,48.0,2.3,0.8,16011471512676143596
1,37.0,3.1,0.14,16011471899223200236
1,35.0,3.9,0.14,16011472328719929836
0,33.5,3.2,0.14,16011472758216659436
1,47.0,3.9,-0.2,16011473144763716076
1,41.0,2.8,0.33,16011473574260445676
1,40.0,3.5,0.65,16011473960807502316
0,44.0,3.4,-0.33,16011474433253904876
0,38.0,3.0,-0.02,16011474862750634476
0,39.0,3.6,0.51,16011475249297691116
1,28.0,3.4,-2.37,16011475678794420716
0,46.0,2.5,-0.27,16011476280089842156
0,42.0,3.0,-0.4,16011476666636898796
0,34.0,2.8,-0.26,16011477096133628396
0,34.0,3.7,-0.96,16011477611529703916
0,38.0,3.3,0.39,16011478041026433516
1,33.0,3.9,0.46,16011478942969565676
0,38.0,3.3,-0.13,16011479716063678956
0,34.0,3.9,-0.23,16011480231459754476
0,37.0,3.7,0.68,16011480703906157036
0,40.0,2.8,0.4,16011481133402886636
0,45.0,3.2,0.43,16011481562899616236
0,41.0,3.2,-0.28,16011481949446672876
0,36.0,3.7,0.89,16011482378943402476
0,45.0,3.5,-0.21,16011482808440132076
0,38.0,3.4,1.02,16011483194987188716
1,44.0,4.1,1.7,16011483624483918316
0,41.0,3.5,-0.1,16011484053980647916
0,39.5,3.5,-0.52,16011484612326396396
1,41.0,3.4,0.24,16011485041823125996
1,44.0,3.6,1.62,16011485471319855596
0,40.5,3.3,1.95,16011485900816585196
1,42.0,3.6,1.65,16011486330313314796
0,40.0,2.0,1.2,16011486759810044396
1,45.0,3.4,1.87,16011487189306773996
1,40.0,3.8,0.3,16011487618803503596
1,36.0,3.7,0.05,16011488005350560236
1,34.0,3.2,-0.55,16011488434847289836
1,37.0,3.5,-1.17,16011488864344019436
1,23.0,2.8,-2.23,16011489293840749036
0,38.0,3.4,-0.3,16011489680387805676
0,40.0,3.5,-0.06,16011490109884535276
1,39.0,3.4,0.57,16011490539381264876
0,40.0,3.2,0.82,16011490968877994476
0,33.0,2.9,0.19,16011491398374724076
0,38.0,3.8,1.16,16011491999670145516
0,43.0,3.8,1.14,16011492429166875116
1,38.0,3.5,0.48,16011492858663604716
1,35.0,3.3,-0.26,16011493288160334316
1,39.0,3.3,1.16,16011493674707390956
1,40.0,3.8,2.25,16011494104204120556
1,33.0,3.3,0.6,16011494533700850156
0,37.0,3.2,1.91,16011494963197579756
0,35.0,2.8,0.96,16011495392694309356
0,30.0,2.6,-0.26,16011495822191038956
1,38.0,3.2,0.56,16011496251687768556
1,31.0,3.7,0.8,16011496681184498156
1,40.0,3.0,1.45,16011497110681227756
0,34.0,3.7,0.43,16011497497228284396
1,42.0,3.9,0.5,16011497926725013996
0,35.5,2.8,1.78,16011498356221743596
0,32.5,2.7,1.02,16011498742768800236
1,30.0,3.0,-0.33,16011499344064221676
0,37.0,2.5,0.23,16011499773560951276
1,35.0,3.7,0.0,16011500160108007916
1,35.0,3.5,0.6,16011500589604737516
1,37.0,3.4,0.63,16011501019101467116
0,28.0,2.7,-0.59,16011501448598196716
1,30.0,2.9,-0.99,16011501878094926316
1,38.0,3.0,0.92,16011502307591655916
1,33.0,2.7,-0.24,16011502737088385516
1,47.0,2.9,0.56,16011503123635442156
0,38.0,2.8,-0.79,16011503553132171756
0,34.0,2.8,-0.86,16011503982628901356
1,34.0,3.1,-0.56,16011504412125630956
0,34.0,3.4,-0.43,16011504798672687596
1,29.0,2.5,-2.01,16011505228169417196
0,40.0,3.2,-0.36,16011505657666146796
0,30.0,2.7,0.06,16011506087162876396
0,26.0,2.5,-0.5,16011506688458297836
0,33.0,3.8,1.58,16011507332703392236
0,36.0,2.3,1.65,16011507762200121836
0,35.0,2.9,-0.13,16011508191696851436
1,30.0,2.9,-0.43,16011508621193581036
0,27.0,2.7,-0.72,16011509050690310636
0,38.0,3.2,0.63,16011509480187040236
0,28.5,2.1,-1.88,16011509866734096876
1,37.0,3.3,-0.13,16011510296230826476
0,39.0,2.4,-0.1,16011510682777883116
0,41.0,2.4,1.61,16011511112274612716
0,33.0,2.3,0.99,16011511541771342316
0,45.0,2.6,-1.05,16011511971268071916
0,33.0,3.4,-0.03,16011512400764801516
0,27.0,3.6,-0.1,16011512830261531116
1,40.0,3.7,1.75,16011513259758260716
1,36.0,3.1,-0.43,16011513689254990316
1,36.0,3.2,1.29,16011514247600738796
0,20.0,3.2,-1.87,16011514677097468396
0,36.0,3.8,-0.99,16011515106594197996
0,36.0,3.3,-0.12,16011515536090927596
1,42.0,3.4,0.99,16011515922637984236
0,40.0,3.6,0.73,16011516352134713836
0,26.0,3.6,-1.15,16011516781631443436
0,37.0,3.8,0.6,16011517211128173036
0,45.0,3.6,1.35,16011517640624902636
0,23.0,3.2,-0.1,16011518070121632236
0,30.5,2.4,-0.89,16011518499618361836
1,38.0,3.0,-0.69,16011518886165418476
1,25.0,2.5,-0.89,16011519315662148076
1,35.0,3.0,0.68,16011519745158877676
1,20.0,3.0,-1.02,16011520174655607276
1,28.0,2.8,-1.38,16011520604152336876
0,38.0,3.2,0.07,16011520990699393516
1,20.5,2.8,-1.19,16011522150340563436
0,44.0,3.0,1.45,16011522837535330796
0,29.0,2.9,1.16,16011523352931406316
0,45.0,2.6,-0.03,16011523739478462956
0,36.0,2.8,-1.19,16011524168975192556
1,21.0,3.0,-1.32,16011524598471922156
0,28.0,2.2,-0.79,16011525027968651756
0,35.0,3.3,0.9,16011525672213746156
0,36.0,3.1,-0.59,16011526144660148716
0,37.0,3.4,0.43,16011527089552953836
1,29.0,3.2,-0.89,16011527519049683436
0,33.0,3.4,1.62,16011527905596740076
0,36.0,3.2,0.27,16011528292143796716
1,42.0,3.4,0.92,16011528721640526316
0,29.5,2.7,-1.38,16011529151137255916
0,27.0,3.1,-1.68,16011529537684312556
0,37.0,3.3,0.03,16011529967181042156
1,22.0,3.3,-0.76,16011530525526790636
1,33.0,3.3,0.2,16011530955023520236
0,27.0,3.3,-0.03,16011531384520249836
0,28.0,3.3,-1.32,16011531771067306476
1,35.0,3.1,-0.14,16011532157614363116
0,28.0,3.7,0.0,16011532587111092716
0,34.0,2.6,-0.3,16011533746752262636
1,22.5,3.3,-1.45,16011534176248992236
0,41.0,3.6,0.05,16011534605745721836
0,33.0,3.1,-0.24,16011535035242451436
0,40.0,3.0,-0.1,16011535464739181036
0,40.5,3.5,0.58,16011535894235910636
1,40.0,3.7,-0.43,16011536323732640236
1,28.0,3.3,1.37,16011536710279696876
1,41.0,2.4,-0.59,16011537139776426476
0,47.0,2.8,-0.14,16011537569273156076
0,38.0,2.5,-1.69,16011537998769885676
1,26.25,3.4,-1.73,16011538557115634156
1,43.0,3.3,0.87,16011538986612363756
1,34.0,3.4,-1.36,16011539416109093356
0,40.0,3.6,-0.08,16011539845605822956
1,37.0,3.4,-0.51,16011540318052225516
0,35.0,2.8,-0.96,16011540704599282156
1,44.0,3.7,0.34,16011541134096011756
0,38.0,2.4,1.38,16011541520643068396
0,44.0,3.6,1.88,16011541950139797996
1,32.0,3.9,0.13,16011542379636527596
0,43.0,4.0,0.87,16011542766183584236
1,42.0,3.4,0.67,16011543195680313836
0,46.0,3.0,0.27,16011543625177043436
1,43.0,3.5,0.58,16011544054673773036
0,43.0,3.0,0.54,16011544441220829676
0,41.0,3.7,0.75,16011544870717559276
1,42.0,3.9,-1.21,16011545343163961836
0,28.0,2.8,-0.76,16011545901509710316
0,27.5,3.5,-1.54,16011546331006439916
0,46.0,3.3,-0.76,16011546717553496556
0,45.0,3.5,0.87,16011547147050226156
0,42.0,3.7,1.92,16011547576546955756
0,42.0,3.6,0.81,16011548006043685356
1,45.0,3.2,-0.16,16011548435540414956
1,42.0,3.5,0.71,16011548822087471596
1,45.0,3.4,-1.25,16011549251584201196
0,44.0,3.4,-0.33,16011549638131257836
1,41.0,3.5,-1.25,16011550325326025196
0,41.0,3.6,2.05,16011550840722100716
1,35.0,3.6,-1.36,16011551227269157356
0,34.0,2.7,-1.56,16011551656765886956
1,32.0,2.7,0.71,16011552086262616556
1,47.0,3.0,0.71,16011552472809673196
0,44.0,3.4,0.81,16011552902306402796
0,42.5,2.3,-1.25,16011553503601824236
1,39.5,3.0,-1.32,16011553933098553836
1,41.0,3.5,1.84,16011554362595283436
0,29.5,2.9,-0.33,16011554749142340076
0,45.0,3.6,0.34,16011555178639069676
0,33.0,3.9,-0.41,16011555608135799276
0,35.0,2.5,0.19,16011556037632528876
0,43.0,3.7,-0.26,16011556724827296236
0,44.0,3.2,1.08,16011557154324025836
0,46.0,3.0,-1.27,16011557583820755436
1,39.0,3.6,-1.73,16011558013317485036
1,43.0,3.3,1.82,16011558442814214636
1,42.0,3.6,1.39,16011558872310944236
1,48.0,3.7,1.26,16011559258858000876
0,33.0,2.5,-0.32,16011559688354730476
1,40.0,3.8,-0.18,16011560117851460076
1,38.5,3.4,-0.74,16011560504398516716
1,40.0,3.6,0.09,16011561105693938156
1,44.0,3.0,-0.9,16011561578140340716
1,41.0,3.6,-0.06,16011562007637070316
1,43.0,3.3,-0.16,16011562437133799916
0,47.0,3.4,1.22,16011563339076932076
0,43.0,3.4,0.56,16011563725623988716
1,42.0,3.6,1.45,16011564112171045356
0,38.0,3.9,0.6,16011564627567120876
1,35.5,2.5,-0.24,16011565830157963756
1,37.0,3.7,1.04,16011566345554039276
1,42.0,3.5,0.69,16011566732101095916
1,46.0,3.1,-0.57,16011567161597825516
0,42.0,3.6,-0.92,16011568321238995436
0,45.0,3.3,0.6,16011568793685397996
1,40.0,3.7,-0.66,16011569223182127596
1,38.0,3.6,-0.22,16011569652678857196
0,42.0,3.1,-0.41,16011570039225913836
0,43.0,3.2,-1.07,16011570640521335276
0,31.0,2.6,-0.43,16011571027068391916
1,42.0,3.7,1.22,16011571456565121516
0,39.0,3.7,-1.5,16011571886061851116
0,47.0,3.1,1.32,16011572272608907756
1,41.0,3.8,-0.51,16011572702105637356
0,33.0,3.6,-0.99,16011573131602366956
1,42.0,3.4,-0.08,16011573561099096556
1,46.0,3.3,1.04,16011573990595826156
0,32.25,3.3,-0.71,16011574420092555756
1,37.0,3.5,-1.69,16011574806639612396
1,41.0,3.6,0.85,16011575236136341996
1,39.0,3.9,-0.35,16011575665633071596
0,42.0,3.4,-0.16,16011576052180128236
0,28.5,2.4,-1.54,16011576481676857836
0,44.0,3.6,0.77,16011576868223914476
0,40.0,3.6,0.67,16011577297720644076
0,37.0,2.5,-1.67,16011577899016065516
0,39.0,3.7,1.37,16011578285563122156
1,28.5,2.6,-0.95,16011578715059851756
0,44.0,3.2,-1.69,16011579144556581356
0,40.0,3.4,0.69,16011579574053310956
1,46.0,3.0,0.95,16011580003550040556
1,42.0,3.7,1.14,16011580390097097196
0,40.0,3.7,-0.22,16011580819593826796
1,41.0,3.6,0.36,16011581249090556396
1,46.0,3.5,2.11,16011581635637613036
0,42.0,2.5,-0.59,16011582065134342636
0,37.0,3.0,1.72,16011582451681399276
0,39.0,2.9,1.67,16011582881178128876
1,31.0,2.5,0.02,16011583310674858476
1,36.0,2.9,-0.78,16011583697221915116
1,32.5,3.3,0.56,16011584169668317676
0,35.0,2.3,0.95,16011584556215374316
0,41.0,2.9,0.74,16011585157510795756
0,30.25,2.9,-0.59,16011585544057852396
0,37.0,3.2,-0.32,16011585973554581996
0,36.0,3.8,0.99,16011586403051311596
0,36.0,3.1,-0.37,16011586832548041196
0,39.0,2.9,0.49,16011587219095097836
1,29.25,3.2,-0.88,16011587648591827436
1,35.0,3.2,-0.86,16011588078088557036
1,33.5,3.3,0.03,16011588464635613676
0,34.0,3.4,-0.94,16011588894132343276
1,38.0,2.8,-0.58,16011589366578745836
0,37.0,2.5,0.14,16011589753125802476
1,34.25,2.8,-0.55,16011590182622532076
1,41.0,2.8,0.66,16011590612119261676
0,26.0,3.5,0.72,16011590998666318316
1,36.0,2.9,-0.48,16011591428163047916
0,34.0,2.8,-0.16,16011591857659777516
0,38.0,2.7,1.15,16011592416005525996
0,38.0,2.6,-0.78,16011593060250620396
0,35.0,2.9,0.22,16011593489747349996
1,35.0,3.5,1.08,16011593919244079596
1,46.0,2.7,0.8,16011594348740809196
1,35.0,3.0,0.53,16011594821187211756
0,33.0,2.1,-0.62,16011595207734268396
0,35.0,3.2,0.92,16011595637230997996
1,28.0,3.3,0.37,16011596066727727596
0,36.0,2.9,0.28,16011596496224457196
1,35.0,2.9,0.09,16011596882771513836
1,32.0,3.8,-0.39,16011597312268243436
1,32.0,2.9,0.68,16011597741764973036
0,40.0,3.3,0.34,16011598171261702636
1,31.0,3.9,0.14,16011598557808759276
0,35.0,3.6,-0.33,16011598987305488876
1,32.0,3.1,-0.9,16011599416802218476
1,29.0,2.5,-0.25,16011599975147966956
0,35.0,2.8,-1.24,16011600404644696556
1,40.0,3.4,1.86,16011600834141426156
1,34.0,3.3,1.75,16011601220688482796
0,27.0,3.5,-0.93,16011601650185212396
1,30.0,3.3,0.29,16011602079681941996
0,31.0,2.2,0.21,16011602466228998636
1,23.25,2.7,-1.56,16011602895725728236
0,30.75,1.9,-0.02,16011603325222457836
1,29.0,3.2,1.12,16011603711769514476
1,33.0,2.3,0.16,16011604141266244076
1,29.0,2.7,0.16,16011604527813300716
1,39.0,3.2,1.03,16011605000259703276
1,32.5,2.6,1.94,16011605429756432876
0,32.0,2.9,-0.57,16011605816303489516
0,31.0,3.1,0.62,16011606245800219116
0,37.0,3.0,-0.04,16011606675296948716
1,30.5,3.0,0.77,16011607233642697196
1,27.0,2.8,-1.06,16011609037528961516
0,36.0,2.6,0.41,16011609552925037036
0,29.0,2.1,-0.56,16011609939472093676
1,36.0,3.3,0.55,16011610411918496236
1,30.0,2.8,0.05,16011610841415225836
1,32.5,2.1,0.76,16011611227962282476
0,23.5,3.6,0.69,16011611700408685036
1,31.0,2.9,-0.9,16011612086955741676
1,31.0,3.1,-0.62,16011612516452471276
0,30.0,2.7,1.14,16011612945949200876
0,31.0,2.9,-1.69,16011613375445930476
0,29.0,2.7,-1.03,16011613804942660076
0,28.0,2.8,-0.09,16011614234439389676
0,40.0,1.7,0.52,16011614663936119276
1,29.0,3.6,-0.58,16011615093432848876
0,29.0,2.5,0.56,16011615522929578476
1,34.0,3.3,-1.24,16011615952426308076
0,30.0,3.4,0.71,16011616381923037676
1,28.5,2.2,-0.31,16011617541564207596
1,36.0,2.2,-0.55,16011617971060937196
0,31.0,2.8,0.02,16011618357607993836
1,31.0,2.2,-0.48,16011618787104723436
0,35.0,2.3,1.69,16011619216601453036
1,35.0,3.2,0.78,16011619817896874476
1,34.0,3.2,0.97,16011620247393604076
0,30.0,2.8,-0.69,16011620676890333676
1,32.0,3.4,0.1,16011621106387063276
1,37.0,2.7,-0.64,16011621492934119916
0,34.5,1.9,-0.93,16011621922430849516
0,36.0,2.7,0.78,16011622351927579116
1,26.0,3.6,0.03,16011622738474635756
1,34.0,3.1,-0.35,16011623167971365356
0,28.0,3.9,0.6,16011623597468094956
1,26.0,2.9,-0.14,16011623984015151596
1,26.5,2.8,-2.14,16011624370562208236
0,37.0,1.9,-0.96,16011624885958283756
1,32.0,2.1,-0.62,16011625272505340396
1,20.0,2.7,-0.93,16011625702002069996
0,31.5,2.4,-0.06,16011626131498799596
1,33.0,3.7,-0.55,16011626518045856236
1,35.0,2.7,-0.28,16011626947542585836
0,31.5,2.0,-0.68,16011627377039315436
0,23.25,3.5,0.21,16011627763586372076
1,29.0,2.7,-0.04,16011628150133428716
